CRN,Course Subject,Course Number,Course Title,Course Section,Sched Type,Term,Primary Instructor,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Average Grade
33478,MATH,241,Calculus III,D1,LCD,120135,"Liu, Hong",4,4,2,4,4,5,4,1,2,0,0,0,1,0,2.99
35278,MATH,241,Calculus III,E1,LCD,120135,"Shen, Jiashun",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
34331,MATH,285,Intro Differential Equations,D1,LCD,120135,"Nikolaev, Igor G",9,1,2,3,3,6,2,3,3,1,3,0,4,1,2.56
33003,MATH,347,Fundamental Mathematics,C1,LCD,120135,"Weichsel, Paul M",0,6,1,3,5,0,1,0,1,1,3,0,0,2,2.9
37099,MATH,348,Fundamental Mathematics-ACP,ONL,ONL,120135,"Francis, George K",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
36390,MATH,402,Non Euclidean Geometry,ONL,ONL,120135,"Francis, George K",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
37101,MATH,403,Euclidean Geometry,ONL,ONL,120135,"Francis, George K",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30978,MATH,415,Applied Linear Algebra,B4,LCD,120135,"Bergvelt, Maarten J",4,6,4,5,5,5,9,3,2,5,1,0,0,1,2.81
36763,MATH,415,Applied Linear Algebra,E3,LCD,120135,"Muncaster, Robert G",2,12,5,3,10,5,7,6,3,5,0,1,2,0,2.77
31858,MATH,415,Applied Linear Algebra,EGR,ONL,120135,"Carpenter, Bruce",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30012,MATH,444,Elementary Real Analysis,D3,LCD,120135,"Zaharescu, Alexandru",2,15,3,10,2,0,0,1,0,0,0,0,0,0,3.66
30014,MATH,446,Applied Complex Variables,X3,LCD,120135,"Miles, Joseph B",1,6,3,3,3,5,0,2,1,2,0,0,0,0,3.08
