attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,average,good,average,0,20068815,0,,poor,2,MUS133,"Prof. Turino seems like a very nice man. He is very interested in what he teaches, which is cool. Unfortunately, do not expect to succeed in this class if you are not a music major. The class is ""designed for non-music majors"" but that's rubbish. The content of this course was highly uninteresting to me and there is a lot of reading to be done.",04/17/2012,5,5.0,,2,Meh,2,2.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,18262942,0,,poor,2,MUS133,hard as hell for people not music majors,03/09/2011,4,4.0,,2,Meh,2,2.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,11666764,0,,average,3,MUS133,"Quite concerned with culture and voodoo spirits of African music.  Beware all exams are essay format, with little multiple choice.",04/06/2006,2,2.0,,2,It's my life,2.5,2.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,poor,poor,poor,0,11066519,0,,poor,1,MUS133,No Comments,12/06/2005,1,1.0,,1,Sorta interested,1,1.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,10881121,0,,good,3,MUSIC133,Awesome guy to hang out with good teacher but watch out for unfair TA's!,11/11/2005,2,2.0,,4,Meh,3.5,3.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
