categoryType,contentType,institution_name,overall_rating,rating_class,tDept,tFname,tLname,tMiddlename,tNumRatings,tSid,tid
PROFESSOR,TEACHER,University Of Illinois at Urbana-Champaign,N/A,zero,Finance,Louis,Chan,,0,1112,1347538
PROFESSOR,TEACHER,University Of Illinois at Urbana-Champaign,N/A,zero,Spanish,Brent,Hart,,0,1112,1348293
PROFESSOR,TEACHER,University Of Illinois at Urbana-Champaign,N/A,zero,English,Martin,Camargo,,0,1112,1376199
PROFESSOR,TEACHER,University Of Illinois at Urbana-Champaign,N/A,zero,Information Science,Gail,Taylor,,0,1112,1377378
PROFESSOR,TEACHER,University Of Illinois at Urbana-Champaign,N/A,zero,Engineering,Naira,Hovakimyan,,0,1112,1378832
PROFESSOR,TEACHER,University Of Illinois at Urbana-Champaign,N/A,zero,Agriculture,Olga,Isengildina-Massa,,0,1112,1413805
PROFESSOR,TEACHER,University Of Illinois at Urbana-Champaign,N/A,zero,Accounting,Susan,Thomas,,0,1112,1415760
PROFESSOR,TEACHER,University Of Illinois at Urbana-Champaign,N/A,zero,Sociology,Meltem Yilmaz,Sener,,0,1112,1440350
PROFESSOR,TEACHER,University Of Illinois at Urbana-Champaign,N/A,zero,Theater,Latrelle,Bright,,0,1112,1448394
PROFESSOR,TEACHER,University Of Illinois at Urbana-Champaign,N/A,zero,Engineering,"J, Bruce",Litchfield,,0,1112,1485421
PROFESSOR,TEACHER,University Of Illinois at Urbana-Champaign,N/A,zero,Psychology,Ming (frances),Kuo,,0,1112,1504782
PROFESSOR,TEACHER,University Of Illinois at Urbana-Champaign,N/A,zero,Computer Science,Swapnil,Ghike,,0,1112,1508920
PROFESSOR,TEACHER,University Of Illinois at Urbana-Champaign,N/A,zero,History,Jason,Jordon,,0,1112,1510936
PROFESSOR,TEACHER,University Of Illinois at Urbana-Champaign,N/A,zero,Classics,Danuta,Shanzer,,0,1112,1520365
PROFESSOR,TEACHER,University Of Illinois at Urbana-Champaign,N/A,zero,English,Janice,Tong,,0,1112,1526985
PROFESSOR,TEACHER,University Of Illinois at Urbana-Champaign,N/A,zero,Spanish,Rebecca,Del Torro,,0,1112,1535323
PROFESSOR,TEACHER,University Of Illinois at Urbana-Champaign,N/A,zero,Journalism,Kevin,Dolan,,0,1112,1545543
PROFESSOR,TEACHER,University Of Illinois at Urbana-Champaign,N/A,zero,Computer Science,Rajiv,Giri,,0,1112,1547303
PROFESSOR,TEACHER,University Of Illinois at Urbana-Champaign,N/A,zero,Kinesiology,Tim,Kahle,,0,1112,1558738
PROFESSOR,TEACHER,University Of Illinois at Urbana-Champaign,N/A,zero,Engineering,Sean,Meyn,,0,1112,1572476
