categoryType,contentType,institution_name,overall_rating,rating_class,tDept,tFname,tLname,tMiddlename,tNumRatings,tSid,tid
PROFESSOR,TEACHER,University Of Illinois at Urbana-Champaign,N/A,zero,Materials Engineering,Lane,Matter,,0,1112,1585367
PROFESSOR,TEACHER,University Of Illinois at Urbana-Champaign,N/A,zero,Physics,Willen,Brock,,0,1112,1613396
PROFESSOR,TEACHER,University Of Illinois at Urbana-Champaign,N/A,zero,Labor & Employment Relations,Marilyn,Sneiderman,,0,1112,1615509
PROFESSOR,TEACHER,University Of Illinois at Urbana-Champaign,N/A,zero,Mathematics,Jan,Lommele,,0,1112,1644585
PROFESSOR,TEACHER,University Of Illinois at Urbana-Champaign,N/A,zero,Speech & Hearing Sciences,Hatun,Zengin,,0,1112,1647551
PROFESSOR,TEACHER,University Of Illinois at Urbana-Champaign,N/A,zero,Agricultural Economics,XI,Yang,,0,1112,1660399
PROFESSOR,TEACHER,University Of Illinois at Urbana-Champaign,N/A,zero,Economics,Zhiwei,Liu,,0,1112,1661507
PROFESSOR,TEACHER,University Of Illinois at Urbana-Champaign,N/A,zero,Psychology,Erika,Salomon,,0,1112,1661734
PROFESSOR,TEACHER,University Of Illinois at Urbana-Champaign,N/A,zero,Mathematics,Francisco,Rios,,0,1112,1681586
PROFESSOR,TEACHER,University Of Illinois at Urbana-Champaign,N/A,zero,Biology,Melissa,Reedy,,0,1112,1686167
PROFESSOR,TEACHER,University Of Illinois at Urbana-Champaign,N/A,zero,English,Thomas,McNamara,,0,1112,1687406
PROFESSOR,TEACHER,University Of Illinois at Urbana-Champaign,N/A,zero,Engineering,Ankur,Kulkarni,,0,1112,1687922
PROFESSOR,TEACHER,University Of Illinois at Urbana-Champaign,N/A,zero,Mathematics,Sunil,Dutta,,0,1112,1688949
PROFESSOR,TEACHER,University Of Illinois at Urbana-Champaign,N/A,zero,Agriculture,Erik,Sacks,,0,1112,1690180
PROFESSOR,TEACHER,University Of Illinois at Urbana-Champaign,N/A,zero,Art & Design,Tony,Welch,,0,1112,1698797
PROFESSOR,TEACHER,University Of Illinois at Urbana-Champaign,N/A,zero,Agriculture,Takasi,Asobo,,0,1112,1712098
PROFESSOR,TEACHER,University Of Illinois at Urbana-Champaign,N/A,zero,Landscape Architecture & Regional Planning,Rachel,Leibowitz,,0,1112,1714830
PROFESSOR,TEACHER,University Of Illinois at Urbana-Champaign,N/A,zero,Communication,Steven,Doran,,0,1112,1728079
PROFESSOR,TEACHER,University Of Illinois at Urbana-Champaign,N/A,zero,Physics,Liang,Yang,,0,1112,1766546
PROFESSOR,TEACHER,University Of Illinois at Urbana-Champaign,N/A,zero,Communication,Eduardo,Alvarez,,0,1112,1777996
