CRN,Course Subject,Course Number,Course Title,Course Section,Sched Type,Term,Primary Instructor,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Average Grade
39099,ARTH,535,Seminar in Baroque Art,A,CNF,120081,"Rosenthal, Lisa",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
45861,ARTH,541,Seminar in Modern Art,JM,LEC,120081,"Vazquez, Oscar",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
49504,ARTH,541,Seminar in Modern Art,PCG,LCD,120081,"Hudson, Suzanne",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
46728,ARTH,546,Writing about Art,AO,LCD,120081,"Hudson, Suzanne",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
49334,ARTH,546,Seminar in Contemporary Art,PC1,LCD,120081,"Hudson, Suzanne",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
49421,ARTH,591,Individual Readings,PC6,LCD,120081,"Weissman, Terri",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30375,ARTS,210,Ceramics Sculpture I,M1,LAB,120081,"Wiesener, Catherine A",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30374,ARTS,210,Ceramics Sculpture I,T1,LAB,120081,"Kovatch, Ronald R",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30377,ARTS,210,Ceramics Sculpture I,U1,LAB,120081,"Wiesener, Catherine A",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30371,ARTS,230,Jewelry/Metals I,M4,LAB,120081,"Lee, Sung yeoul",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30370,ARTS,230,Jewelry/Metals I,T4,LAB,120081,"Onodera, Masako",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30373,ARTS,231,Jewelry/Metals II,T9,LAB,120081,"Kim, Sun Kyoung",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30716,ARTS,251,Painting I,M2,LAB,120081,"Gonzalez-Guerra, Brandice",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
46767,ARTS,252,Making and Meaning,T1,LAB,120081,"Orr, Phillip R",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
46768,ARTS,252,Making and Meaning,T9,LAB,120081,"Slager, Miriam E",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30717,ARTS,254,Painting II,M9,LAB,120081,"Fotos, Adam C",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30718,ARTS,254,Painting II,T1,LAB,120081,"Clark, Nathaniel N",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30739,ARTS,260,Basic Photography,M1,LAB,120081,"Kluempers, Steven F",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30736,ARTS,260,Basic Photography,M9,LAB,120081,"Rasmussen, Donald A",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30741,ARTS,260,Basic Photography,T1,LAB,120081,"Rasmussen, Donald A",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
