CRN,Course Subject,Course Number,Course Title,Course Section,Sched Type,Term,Primary Instructor,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Average Grade
32896,AAS,100,Intro Asian American Studies,1A,LCD,120115,"Ono, Kent A",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30560,AAS,100,Intro Asian American Studies,2A,LCD,120115,"Kwon, Soo Ah",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30562,ACCY,202,Accounting and Accountancy II,A,LCD,120115,"Finnegan, Thomas",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30565,ACCY,301,Atg Measurement & Disclosure,AE1,LCD,120115,"Chiorean, Raluca",0,4,11,6,5,1,0,0,0,0,0,0,0,0,3.48
30026,ACCY,301,Atg Measurement & Disclosure,AE2,LCD,120115,"Altiero, Elizabeth C",4,10,6,0,2,1,0,1,0,0,0,0,0,0,3.7
30034,ACCY,302,Decision Making for Atg,AE1,LCD,120115,"Nichol, Jennifer E",1,18,5,2,4,0,0,0,1,0,0,0,0,0,3.7
30037,ACCY,302,Decision Making for Atg,AE2,LCD,120115,"Turner, Cynthia W",1,2,4,4,10,0,0,1,0,0,0,0,1,0,3.13
30041,ACCY,303,Atg Institutions and Reg,AE1,LCD,120115,"Czerney, Keith R",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30048,ACCY,303,Atg Institutions and Reg,AE2,LCD,120115,"Chang, Hye Sun",2,13,2,4,0,1,0,0,0,0,0,0,0,0,3.79
30061,ACCY,304,Accounting Control Systems,AE1,LCD,120115,"Lill, Jeremy B",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30066,ACCY,304,Accounting Control Systems,AE2,LCD,120115,"Brown, Clifton E",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30080,ACCY,312,Principles of Taxation,A,LCD,120115,"Holder, Daniel E",2,13,1,1,8,0,2,2,0,0,0,0,0,0,3.44
30069,ACCY,405,Assurance and Attestation,AE1,LCD,120115,"Zimbelman, Aaron F",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30074,ACCY,405,Assurance and Attestation,AE2,LCD,120115,"Bucaro, Anthony C",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
34354,ACCY,500,"Atg Measuremnt, Rpting & Cntrl",PT,LCD,120115,"Brown, Clifton E",2,11,18,11,5,0,0,0,0,0,0,0,0,0,3.62
30083,ACCY,501,Accounting Analysis I,A,LCD,120115,"Ibrahim, Adel Nematallah",0,12,3,3,3,3,0,1,0,0,0,0,0,0,3.52
30086,ACCY,501,Accounting Analysis I,B,LCD,120115,"Ibrahim, Adel Nematallah",0,10,3,7,2,5,0,0,0,0,0,0,0,0,3.47
36365,ACCY,502,Accounting Analysis II,A,LCD,120115,"Kao, Glenda W",4,12,11,7,5,0,0,0,0,0,0,0,0,0,3.66
32857,ACCY,510,Financial Reporting Standards,A,LCD,120115,"Polinski, Paul W",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
32858,ACCY,515,Auditing & Assurance Standards,A,LCD,120115,"Nekrasz, Frank",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
32291,ACCY,551,Corporate Income Taxation,CHI,LCD,120115,"Shaw, Jeffrey M",10,3,5,3,0,0,0,1,0,0,0,0,0,0,3.74
33980,ACCY,560,Information in Value Creation,A,LCD,120115,"Brown, Clifton E",1,15,15,2,0,0,0,0,0,0,0,0,0,0,3.81
34580,ACCY,560,Information in Value Creation,B,LCD,120115,"Chandler, John S",0,14,18,4,0,0,0,0,0,0,0,0,0,0,3.76
34342,ACCY,560,Information in Value Creation,CHI,LCD,120115,"Chandler, John S",3,18,0,1,0,0,0,0,0,0,0,0,0,0,3.97
30119,ACE,161,Microcomputer Applications,S,LBD,120115,"Shah, Payal S",0,23,0,0,2,0,0,0,0,0,0,0,0,0,3.92
35626,ACE,240,Personal Financial Planning,OO,ONL,120115,"Braden, John B",0,7,5,2,8,1,1,8,3,3,1,0,1,2,2.7
