CRN,Course Subject,Course Number,Course Title,Course Section,Sched Type,Term,Primary Instructor,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Average Grade
30107,AAS,100,Intro Asian American Studies,AD1,DIS,120091,"Arnaldo, Constancio",12,12,5,0,2,1,0,0,0,0,0,0,2,0,3.62
41729,AAS,100,Intro Asian American Studies,AD2,DIS,120091,"Arnaldo, Constancio",8,8,5,2,3,2,0,1,2,0,0,0,1,0,3.4
43832,AAS,100,Intro Asian American Studies,AD3,DIS,120091,"Chung, Jennifer Y",16,12,3,2,0,0,0,0,0,0,1,0,0,0,3.84
48232,AAS,100,Intro Asian American Studies,AD4,DIS,120091,"Chung, Jennifer Y",18,10,1,2,0,1,0,0,0,0,0,0,0,0,3.91
48234,AAS,100,Intro Asian American Studies,AD5,DIS,120091,"Lam, Kevin D",16,13,2,2,0,1,0,0,0,0,0,0,0,1,3.9
50105,AAS,100,Intro Asian American Studies,AD6,DIS,120091,"Lam, Kevin D",17,10,3,1,0,0,0,0,0,0,0,0,0,0,3.95
51886,AAS,100,Intro Asian American Studies,B,LCD,120091,"Coyoca, Wilfred D",0,6,7,7,7,3,0,1,1,0,0,0,0,0,3.3
46336,AAS,120,Intro to Asian Am Pop Culture,A,LCD,120091,"Wong, Yutian",8,35,11,4,6,4,5,0,2,0,1,0,1,0,3.51
48812,AAS,199,Discovery course,SAK,LCD,120091,"Kwon, Soo Ah",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
51119,AAS,258,Muslims in America,A,LCD,120091,"Rana, Junaid",7,10,8,1,0,0,1,0,0,0,0,0,0,0,3.82
48574,AAS,299,Begin Topics Asian Am Studies,BI,LCD,120091,"Isaki, Bianca K",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
48455,AAS,299,Asian American Women Writers,M,LCD,120091,"Koshy, Susan",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
46462,AAS,365,Asian American Media and Film,A,LCD,120091,"Ono, Kent A",1,2,8,4,7,3,2,0,0,0,0,0,1,0,3.16
