CRN,Course Subject,Course Number,Course Title,Course Section,Sched Type,Term,Primary Instructor,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Average Grade
32287,LIS,590,HR Mgmt in Lib & Info Centers,SLE,ONL,120065,"Johnson, Debra W",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
33059,LIS,590,Thesaurus Construction,TC,LCD,120065,"Cochrane, Pauline A",6,13,1,0,0,0,0,0,0,0,1,0,0,0,3.83
30951,LLS,100,Intro Latina/Latino Studies,A,LCD,120065,"Quinones-Rivera, Maritza",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30959,MATH,12,Algebra,B1,LCD,120065,"Buck, Warren K",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30960,MATH,118,A Mathematical World,B1,LCD,120065,"Yu, Gexin",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30962,MATH,118,A Mathematical World,D1,LCD,120065,"Seceleanu, Alexandra",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30965,MATH,125,Elementary Linear Algebra,D1,LCD,120065,"Bansal, Shivi S",1,4,3,3,4,1,2,3,2,0,1,0,0,1,2.94
30963,MATH,220,Calculus I,C1,LCD,120065,"James, Micah",0,5,4,4,9,1,1,1,1,0,0,0,1,0,3.1
30970,MATH,225,Introductory Matrix Theory,M1,LCD,120065,"Lior, Dan U",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
33001,MATH,231,Calculus II,A1,LCD,120065,"Harper, Marc A",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
33002,MATH,231,Calculus II,B1,LCD,120065,"Tellez, Hernando",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30968,MATH,234,Calculus for Business I,C1,LCD,120065,"Jung, Jaebum",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
32915,MATH,242,Calculus of Several Variables,B1,LCD,120065,"Tichenor, Scott R",8,6,4,0,3,0,1,0,0,0,0,0,0,0,3.73
30972,MATH,242,Calculus of Several Variables,D1,LCD,120065,"Kadziela, Samuel",0,7,2,4,3,2,1,0,2,0,0,0,1,0,3.12
33003,MATH,347,Fundamental Mathematics,C1,LCD,120065,"Weichsel, Paul M",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30973,MATH,380,Advanced Calculus,B1,LCD,120065,"Nikolaev, Igor G",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30975,MATH,385,Intro Differential Equations,D1,LCD,120065,"Babakhanian, Ararat",0,10,7,2,4,1,0,2,1,0,0,0,0,0,3.43
30978,MATH,415,Linear Algebra,B4,LCD,120065,"Gao, Mingchu",0,7,1,3,1,2,1,3,1,0,0,0,2,0,2.86
31122,MATH,415,Linear Algebra,D3,LCD,120065,"Ullom, Stephen V",2,6,3,0,6,1,3,1,3,3,1,0,0,0,2.89
