CRN,Course Subject,Course Number,Course Title,Course Section,Sched Type,Term,Primary Instructor,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Average Grade
41758,AAS,100,Intro Asian American Studies,AD1,DIS,120088,"Chung, Jennifer Y",0,29,2,1,1,2,1,0,0,0,0,0,0,0,3.82
47100,AAS,100,Intro Asian American Studies,AD2,DIS,120088,"Lam, Kevin D",0,18,7,2,0,0,0,1,0,0,0,0,2,0,3.55
47102,AAS,100,Intro Asian American Studies,AD3,DIS,120088,"Arnaldo, Constancio",0,18,9,1,2,0,1,0,1,0,0,1,0,0,3.61
51248,AAS,100,Intro Asian American Studies,AD4,DIS,120088,"Chung, Jennifer Y",0,26,0,3,1,0,0,1,0,2,1,0,0,0,3.61
51249,AAS,100,Intro Asian American Studies,AD5,DIS,120088,"Lam, Kevin D",0,17,1,4,4,1,0,1,0,0,1,0,1,0,3.42
51932,AAS,100,Intro Asian American Studies,AD6,DIS,120088,"Arnaldo, Constancio",0,11,7,2,6,1,2,0,0,1,0,0,0,0,3.43
47170,AAS,120,Intro to Asian Am Pop Culture,A,LEC,120088,"Nguyen, Mimi T",5,19,23,17,14,9,5,4,1,2,1,0,5,0,3.12
51394,AAS,120,Intro to Asian Am Pop Culture,B,LEC,120088,"Wong, Yutian",11,7,5,5,1,2,0,0,0,0,0,0,2,0,3.5
50585,AAS,199,Discovery Course,JRD,LCD,120088,"Rana, Junaid",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
49989,AAS,299,Begin Topics Asian Am Studies,DC,LCD,120088,"Coyoca, Wilfred D",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
51335,AAS,390,Narratives of Empire,LC,LCD,120088,"Cacho, Lisa M",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
47519,AAS,450,Asian American Ethnic Groups,KOG,LCD,120088,"Ono, Kent A",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
45440,AAS,490,Adv Topics in Asian Am Studies,DC,LCD,120088,"Coyoca, Wilfred D",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
47824,AAS,490,Transnational Sexualities,FN,LCD,120088,"Ngo, Fiona",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
51251,AAS,590,Race and Ethnography,JR,LCD,120088,"Rana, Junaid",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
49538,AAS,590,"Media, Metaphor, Marginality",KO,LCD,120088,"Ono, Kent A",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
31263,ABE,100,Intro Agric & Biological Engrg,B,LEC,120088,"Danao, Mary-Grace",0,40,0,0,4,0,0,0,0,0,0,0,0,0,3.91
