CRN,Course Subject,Course Number,Course Title,Course Section,Sched Type,Term,Primary Instructor,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Average Grade
39586,CS,476,Program Verification,D3,LCD,120121,"Meseguer, Jose",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
39588,CS,477,Formal Software Devel Methods,B3,LCD,120121,"Agha, Gul A",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
55917,CS,477,Formal Software Devel Methods,ONL,ONL,120121,"Agha, Gul A",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
31260,CS,493,"Senior Project II, ACP",CS,LCD,120121,"Woodley, Michael J",5,12,8,6,4,1,0,0,0,0,0,0,0,0,3.67
40242,CS,494,Senior Project II,CS,LCD,120121,"Woodley, Michael J",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
43755,CS,498,Software Testing,DM3,LEC,120121,"Marinov, Darko",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
56907,CS,498,Intro to Parallel Programming,DP3,LEC,120121,"Padua, David A",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
56968,CS,498,HCI Lab,FU3,LEC,120121,"Fu, Wai-Tat",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
57126,CS,498,Intro Computational Geometry,HP3,LEC,120121,"Har-Peled, Sariel",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
50445,CS,498,Undergrad Research Lab,LA,LCD,120121,"Angrave, Lawrence C",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
56905,CS,498,Networking Lab,MC3,LEC,120121,"Caesar, Matthew C",4,11,11,5,3,0,1,0,0,0,0,0,0,1,3.67
54566,CS,498,Logical Systems,MV3,LEC,120121,"Viswanathan, Mahesh",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
31604,CS,512,Data Mining Principles,F,LCD,120121,"Han, Jiawei",5,12,4,4,0,0,1,0,1,0,0,0,0,0,3.7
47139,CS,512,Data Mining Principles,ONL,ONL,120121,"Han, Jiawei",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
39590,CS,522,Programming Language Semantics,R,LCD,120121,"Rosu, Grigore",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
31605,CS,523,Advanced Operating Systems,E,LCD,120121,"King, Samuel T",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
