CRN,Course Subject,Course Number,Course Title,Course Section,Sched Type,Term,Primary Instructor,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Average Grade
32376,SPAN,208,Oral Spanish,1SP,STA,120085,"Perpinan-Hinare, Silvia",5,8,2,3,2,0,0,3,0,0,0,0,0,0,3.54
30427,SPAN,208,Oral Spanish,2E,LCD,120085,"Martinez, Lily",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
31228,SPAN,225,Intro Hispanic Literature I,1C,LCD,120085,"Patino, Brenci",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
33510,SPAN,225,Intro Hispanic Literature I,2C,LCD,120085,"Medina Vilarino, Kristina",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
34211,SPAN,228,Spanish Composition,1BA,STA,120085,"Rocha, Carolina",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
29996,SPAN,228,Spanish Composition,1C,LCD,120085,"Dennison, Braddon A",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30426,SPAN,228,Spanish Composition,2C,LCD,120085,"Ciriza, Maria",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
34213,SPAN,232,Spanish in the Community,2X,LCD,120085,"Lemus, Jose M",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30430,SPAN,301,Culture of Spain,1SP,STA,120085,"Wilcox, John C",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30003,SPAN,301,Culture of Spain,2C,LCD,120085,"Ripolles, Carmen",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30434,SPCM,101,Public Speaking,1,LCD,120085,"Niesen, Molly",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30005,SPCM,101,Public Speaking,2,LCD,120085,"Nash, Sabrina N",3,9,3,4,0,1,0,1,0,0,0,0,0,0,3.67
32861,SPCM,101,Public Speaking,3,LCD,120085,"Josey, Christopher S",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30432,SPCM,101,Public Speaking,4,LCD,120085,"Dolber, Brian C",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
31236,SPCM,102,Intro to Comm Theory & Res,2,LCD,120085,"Bauer, Erica D",1,1,6,0,2,7,2,2,1,0,0,0,0,0,2.96
30437,SPCM,102,Intro to Comm Theory & Res,3,LCD,120085,"Hefner, Veronica",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
33601,SPCM,211,Business Communication,1,LCD,120085,"Garcia, Mattea A",6,8,1,3,0,1,1,0,0,0,0,1,2,1,3.28
30438,SPCM,212,Intro to Organizational Comm,1,LCD,120085,"Pham, Vincent N",1,4,1,2,3,3,2,1,1,1,1,0,1,0,2.76
30439,SPCM,220,Communicating Public Policy,1,LCD,120085,"Parris, Michael D",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
32862,SPCM,230,Intro to Interpersonal Comm,1,LCD,120085,"Ramey, Mary E",6,8,3,1,1,0,0,5,0,0,0,0,0,0,3.47
30442,SPCM,230,Intro to Interpersonal Comm,2,LCD,120085,"Satterlee, Kristen",1,7,8,4,3,3,2,0,0,1,1,0,0,0,3.29
32890,SPCM,277,Media of Public Discourse,1,LCD,120085,"Quintero Johnso, Jessie M",1,5,6,2,3,1,3,0,0,0,2,0,0,0,3.19
30440,SPCM,321,Persuasive Speaking,1,LCD,120085,"Licciardello, Vincent N",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30441,SPCM,323,Argumentation,1,LCD,120085,"Cooper, Troy B",0,16,3,0,1,1,0,0,0,0,0,0,0,0,3.84
32366,SPCM,396,Special Topics in Comm,1,LCD,120085,"Moriarty, Cortney M",1,1,5,7,5,5,3,0,0,0,0,0,1,0,3.04
32876,SPCM,529,Seminar Communication Theory,A,LCD,120085,"Quick, Brian L",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30396,SPED,438,Collaborating with Families,A,LCD,120085,"Shaffer, LaShorage",0,21,0,0,2,0,0,0,0,0,1,0,0,0,3.82
34493,SPED,438,Collaborating with Families,T2,LCD,120085,"Ippolito, Laura",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
31216,SPED,517,Disability Issues in SPED,A,LCD,120085,"Lee, Suzanne",11,12,4,0,2,0,0,0,0,0,0,0,0,0,3.89
34494,SPED,517,Disability Issues in SPED,T3,LCD,120085,"Carey, Yvonne A",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30403,SPED,538,Interdisciplinary Teaming,A,LCD,120085,"Felner, Tweety Y",0,18,5,1,0,0,0,0,0,0,0,0,0,0,3.9
30451,STAT,100,Statistics,E1,LCD,120085,"Yang, Yunwen",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30452,STAT,100,Statistics,N,LCD,120085,"Hirtz, Nathaniel R",4,5,1,2,6,3,2,3,1,1,0,1,2,0,2.8
30453,STAT,100,Statistics,T1,LCD,120085,"Patterson, Julie A",19,8,3,3,4,2,0,0,0,0,0,0,1,0,3.66
34303,STAT,200,Statistical Analysis,N1,LCD,120085,"Recchia, Anthony",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30460,STAT,400,Statistics and Probability I,AL1,LEC,120085,"Monrad, Ditlev",6,8,5,5,7,0,0,3,1,1,1,0,3,4,3.05
33498,STAT,410,Statistics and Probability II,G1G,LEC,120085,"Stepanov, Alexei G",11,7,2,1,0,3,0,1,3,0,0,0,0,0,3.55
34304,STAT,440,Statistical Data Management,N1G,LEC,120085,"Muyot, Maria E",14,16,3,0,1,0,0,0,0,0,0,0,1,0,3.83
34364,STAT,593,STAT Internship,INT,CNF,120085,"Martinsek, Adam T",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
32878,SWAH,201,Elementary Swahili I,A1,LCD,120085,"Mazrui, Abdulwahid M",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
33916,SWAH,201,Elementary Swahili I,C1,LCD,120085,"Ojiambo, Peter C",18,0,0,0,0,0,0,0,0,0,3,0,0,0,3.57
34658,SWAH,201,Elementary Swahili I,D1,LCD,120085,"Muhati, Mukhutsi P",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
32879,SWAH,202,Elementary Swahili II,B1,LCD,120085,"Mazrui, Abdulwahid M",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
33923,SWAH,202,Elementary Swahili II,C1,LCD,120085,"Ojiambo, Peter C",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
34720,SWAH,202,Elementary Swahili II,D1,LCD,120085,"Muhati, Mukhutsi P",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
33693,SWAH,403,Intermediate Swahili I,A1,PKG,120085,"Muaka, Leonard",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
