CRN,Course Subject,Course Number,Course Title,Course Section,Sched Type,Term,Primary Instructor,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Average Grade
41758,AAS,100,Intro Asian American Studies,AD1,DIS,120068,"Cruz, Adrian",11,8,8,1,0,2,2,0,1,0,0,0,0,0,3.65
47100,AAS,100,Intro Asian American Studies,AD2,DIS,120068,"Cruz, Adrian",10,9,8,3,2,1,1,0,0,0,0,0,0,0,3.72
47102,AAS,100,Intro Asian American Studies,AD3,DIS,120068,"Endo, Rachel K",5,10,5,1,1,0,1,2,1,0,0,0,2,0,3.31
47170,AAS,120,Intro to Asian Am Pop Culture,A,LEC,120068,"Ono, Kent A",2,4,16,11,11,10,3,5,2,0,0,0,1,0,3.07
47524,AAS,199,Undergraduate Open Seminar,B,LCD,120068,"Kwon, Soo Ah",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
45235,AAS,450,Asian American Ethnic Groups,AEG,LCD,120068,"Espiritu, Augusto F",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
47519,AAS,450,Asian American Ethnic Groups,SLG,LCD,120068,"Lan, Shanshan",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
46683,AAS,490,Adv Topics in Asian Am Studies,EL,CNF,120068,"Lee, Esther S",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
31301,AAS,490,Adv Topics in Asian Am Studies,ETU,LCD,120068,"Tan, Eng Kiong",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
47824,AAS,490,Adv Topics in Asian Am Studies,FN,LCD,120068,"Ngo, Fiona",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
47822,AAS,490,Adv Topics in Asian Am Studies,MN,LCD,120068,"Nguyen, Mimi T",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
31263,ABE,100,Intro to Agr Engineering,B,LEC,120068,"Bode, Loren E",0,21,0,0,5,0,0,4,0,0,1,0,0,0,3.48
31270,ABE,221,Agr & Bio Engineering I,AL1,LEC,120068,"Grift, Tony E",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
29651,ABE,361,Princ of Off-Road Machines,AL1,LEC,120068,"Tian, Lei",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
36669,ABE,430,Project Management,A,LCD,120068,"Zahos, Stephen C",0,12,15,3,0,0,0,0,0,0,0,0,0,0,3.77
40242,ABE,430,Project Management,B,LCD,120068,"Zahos, Stephen C",0,11,7,3,2,0,1,1,1,0,0,0,0,0,3.53
29655,ABE,459,Drainage and Water Management,AB3,LAB,120068,"Cooke, Richard A",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
47972,ABE,459,Drainage and Water Management,AB5,LAB,120068,"Cooke, Richard A",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
31280,ABE,466,Engineering Off-Road Vehicles,AL1,LEC,120068,"Hansen, Alan C",1,9,18,7,2,1,0,0,0,0,0,0,0,1,3.63
29662,ABE,476,Indoor Air Quality Engineering,AL1,LEC,120068,"Zhang, Yuanhui",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
39806,ABE,501,Graduate Research I,A,LCD,120068,"Zhang, Yuanhui",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
39539,ACCY,200,Fundamentals of Accounting,B,LCD,120068,"Silhan, Peter A",5,35,22,17,36,20,6,7,3,0,2,0,1,1,3.21
36478,ACCY,201,"Accounting and Accountancy, I",AD1,DIS,120068,"Azul, Jason",4,5,7,11,4,3,6,2,3,0,1,0,0,0,3.09
36480,ACCY,201,"Accounting and Accountancy, I",AD2,DIS,120068,"Baker, Stephanie J",4,5,7,3,6,9,3,1,1,0,0,0,1,0,3.11
36482,ACCY,201,"Accounting and Accountancy, I",AD3,DIS,120068,"Azul, Jason",2,6,13,13,5,5,1,3,0,0,0,0,0,0,3.33
36484,ACCY,201,"Accounting and Accountancy, I",AD4,DIS,120068,"Boghosian, Sarah C",2,9,10,3,4,4,5,3,1,1,1,2,1,0,2.96
36485,ACCY,201,"Accounting and Accountancy, I",AD5,DIS,120068,"Carnahan, Seth S",3,5,10,11,6,4,3,3,2,0,2,0,0,0,3.11
36486,ACCY,201,"Accounting and Accountancy, I",AD6,DIS,120068,"Darnay, Rory",3,13,10,16,3,2,1,0,0,0,2,0,0,0,3.45
36487,ACCY,201,"Accounting and Accountancy, I",AD7,DIS,120068,"Boghosian, Sarah C",3,12,15,4,2,4,3,2,1,0,0,1,1,0,3.3
36489,ACCY,201,"Accounting and Accountancy, I",AD8,DIS,120068,"Carnahan, Seth S",2,10,11,6,6,6,3,2,1,0,0,0,1,0,3.23
36491,ACCY,201,"Accounting and Accountancy, I",AD9,DIS,120068,"Baker, Stephanie J",1,13,10,4,2,4,1,2,1,0,1,0,1,0,3.29
36494,ACCY,201,"Accounting and Accountancy, I",ADA,DIS,120068,"Kieser, Brent R",1,6,15,6,8,6,3,2,1,0,0,0,0,0,3.24
36496,ACCY,201,"Accounting and Accountancy, I",ADB,DIS,120068,"Mikolajczyk, Marcin M",2,6,13,9,4,9,1,2,1,0,2,0,1,0,3.11
36499,ACCY,201,"Accounting and Accountancy, I",ADC,DIS,120068,"Darnay, Rory",2,7,17,9,2,6,2,3,2,0,0,0,0,0,3.29
36502,ACCY,201,"Accounting and Accountancy, I",ADD,DIS,120068,"Smith, Elizabeth S",4,5,10,10,5,1,3,0,0,0,1,0,0,0,3.38
36506,ACCY,201,"Accounting and Accountancy, I",ADE,DIS,120068,"Zalay, Daniel B",1,8,18,5,4,7,1,1,1,0,3,0,0,0,3.23
36509,ACCY,201,"Accounting and Accountancy, I",ADF,DIS,120068,"Kieser, Brent R",3,6,10,9,3,6,4,3,1,0,2,0,0,0,3.12
36513,ACCY,201,"Accounting and Accountancy, I",ADG,DIS,120068,"Mikolajczyk, Marcin M",4,15,9,3,9,5,0,1,1,0,2,0,0,0,3.37
36516,ACCY,201,"Accounting and Accountancy, I",ADH,DIS,120068,"Smith, Elizabeth S",1,6,14,7,1,6,2,1,0,0,1,0,0,0,3.32
36522,ACCY,201,"Accounting and Accountancy, I",ADI,DIS,120068,"Sung, Joshua L",7,15,15,5,4,1,2,0,0,0,1,0,0,0,3.6
36526,ACCY,201,"Accounting and Accountancy, I",ADJ,DIS,120068,"Sutor, Kate L",2,14,11,7,3,5,2,1,1,0,2,0,0,0,3.34
36530,ACCY,201,"Accounting and Accountancy, I",ADK,DIS,120068,"Wycklendt, Greg S",6,4,14,9,2,6,2,4,2,0,0,0,0,1,3.25
36536,ACCY,201,"Accounting and Accountancy, I",ADL,DIS,120068,"Sung, Joshua L",1,4,14,6,5,6,7,2,4,0,0,0,0,0,3.05
