CRN,Course Subject,Course Number,Course Title,Course Section,Sched Type,Term,Primary Instructor,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Average Grade
50310,MATH,595,Advanced Topics in Math,RHG,LCD,120078,"Dunfield, Nathan M",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
32165,MATH,595,Advanced Topics in Math,SM,LCD,120078,"Ford, Kevin",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
49186,MATH,595,Advanced Topics in Math,VNA,LCD,120078,"Junge, Marius",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
38608,MBA,501,Foundations of Business I,AE1,LCD,120078,"Debrock, Lawrence M",2,8,10,19,14,0,0,0,0,0,0,0,0,0,3.43
38610,MBA,501,Foundations of Business I,AE2,LCD,120078,"Debrock, Lawrence M",3,8,7,16,10,2,0,0,0,0,0,0,0,4,3.44
38613,MBA,502,Foundations of Business II,AE1,LCD,120078,"Debrock, Lawrence M",2,15,7,17,10,1,0,0,0,0,0,0,0,0,3.52
38615,MBA,502,Foundations of Business II,AE2,LCD,120078,"Debrock, Lawrence M",1,18,9,11,7,1,0,0,0,0,0,0,0,0,3.6
30499,MCB,100,Introductory Microbiology,A,LEC,120078,"Chapman, Kenneth",6,49,11,3,87,7,4,51,8,0,19,1,6,2,2.76
32522,MCB,101,Intro Microbiology Laboratory,AL1,LEC,120078,"Alt, Renee L",1,39,8,9,49,10,0,12,0,0,2,0,0,0,3.22
30553,MCB,103,Intro to Human Physiology,B,LEC,120078,"Brown, Chester M",25,37,24,47,37,30,49,18,7,7,10,9,1,0,2.89
34359,MCB,104,Intro to Human Physiology Lab,1,LAB,120078,"Ponugoti, Bhaskar",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
34382,MCB,104,Intro to Human Physiology Lab,10,LAB,120078,"Miles, Michael S",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
34385,MCB,104,Intro to Human Physiology Lab,11,LAB,120078,"Cherian, Milu T",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
49856,MCB,104,Intro to Human Physiology Lab,12,LAB,120078,"Wang, Wei",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
34388,MCB,104,Intro to Human Physiology Lab,13,LAB,120078,"Anandan, Lavanya",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
41760,MCB,104,Intro to Human Physiology Lab,14,LAB,120078,"Anandan, Lavanya",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
41761,MCB,104,Intro to Human Physiology Lab,15,LAB,120078,"Kim, Kyuri",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
41762,MCB,104,Intro to Human Physiology Lab,16,LAB,120078,"Kim, Kyuri",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
34363,MCB,104,Intro to Human Physiology Lab,2,LAB,120078,"Curtis-Ducey, Carol D",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
34360,MCB,104,Intro to Human Physiology Lab,3,LAB,120078,"Shipp, Zachary J",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
34367,MCB,104,Intro to Human Physiology Lab,4,LAB,120078,"Monahan, Pamela",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
34378,MCB,104,Intro to Human Physiology Lab,5,LAB,120078,"Cherian, Milu T",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
34371,MCB,104,Intro to Human Physiology Lab,6,LAB,120078,"Ponugoti, Bhaskar",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
34373,MCB,104,Intro to Human Physiology Lab,7,LAB,120078,"Wang, Wei",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
34376,MCB,104,Intro to Human Physiology Lab,8,LAB,120078,"Miles, Michael S",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
34381,MCB,104,Intro to Human Physiology Lab,9,LAB,120078,"Monahan, Pamela",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
