CRN,Course Subject,Course Number,Course Title,Course Section,Sched Type,Term,Primary Instructor,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Average Grade
41758,AAS,100,Intro Asian American Studies,AD1,DIS,120128,"Carter, Regina S",6,12,2,1,0,0,0,0,0,1,0,1,0,0,3.68
47100,AAS,100,Intro Asian American Studies,AD2,DIS,120128,"Carter, Regina S",5,13,4,1,0,0,0,0,0,1,0,0,0,0,3.81
51248,AAS,100,Intro Asian American Studies,AD4,DIS,120128,"Livingston, Susan B",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
51249,AAS,100,Intro Asian American Studies,AD5,DIS,120128,"Arai, Sayuri",1,14,6,2,2,1,4,0,0,0,0,0,0,0,3.56
51932,AAS,100,Intro Asian American Studies,AD6,DIS,120128,"Arai, Sayuri",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
59818,AAS,100,Intro Asian American Studies,AD7,DIS,120128,"Davis, Thomas E",6,14,3,2,1,1,1,0,0,0,1,0,0,0,3.68
59819,AAS,100,Intro Asian American Studies,AD8,DIS,120128,"Davis, Thomas E",16,10,0,1,2,1,0,0,0,0,0,0,0,0,3.87
59820,AAS,100,Intro Asian American Studies,AD9,DIS,120128,"Arnaldo, Constancio",0,22,4,1,1,0,0,0,0,0,0,0,0,0,3.89
59821,AAS,100,Intro Asian American Studies,ADA,DIS,120128,"Arnaldo, Constancio",0,15,5,2,1,1,1,0,0,0,2,0,0,0,3.52
51394,AAS,120,Intro to Asian Am Pop Culture,B,LCD,120128,"Estrada, Judith",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
53947,AAS,211,Asian Americans and the Arts,A,LCD,120128,"Nguyen, Mimi T",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
58268,AAS,315,"War, Memory, and Cinema",A,LCD,120128,"Ngo, Fiona",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
42862,AAS,365,Asian American Media and Film,A,LCD,120128,"Yang, Caroline H",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
58576,AAS,561,Race and Cultural Critique,A,LCD,120128,"Yang, Caroline H",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
31263,ABE,100,Intro Agric & Biological Engrg,B,LEC,120128,"Green, Angela R",0,35,0,0,13,0,0,1,0,0,0,0,0,0,3.69
58927,ABE,223,ABE Principles: Machine Syst,AL1,LEC,120128,"Grift, Tony E",0,39,12,0,3,4,0,2,1,0,0,0,0,0,3.69
58931,ABE,224,ABE Principles: Soil & Water,AL1,LEC,120128,"Kalita, Prasanta K",11,32,0,6,6,0,3,4,0,0,0,0,2,0,3.52
57598,ABE,341,Transport Processes in ABE,MGD,LEC,120128,"Danao, Mary-Grace",1,6,1,2,5,0,4,3,0,1,1,0,0,0,2.96
29651,ABE,361,Off-Road Machine Design,AL1,LEC,120128,"Hansen, Alan C",1,7,5,2,0,3,1,2,0,0,0,1,3,0,2.88
36669,ABE,430,Project Management,A,LCD,120128,"Schideman, Lance C",0,20,16,11,40,10,1,6,1,0,0,0,0,0,3.22
29655,ABE,459,Drainage and Water Management,A3,LEC,120128,"Cooke, Richard A",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
39805,ABE,459,Drainage and Water Management,A4,LEC,120128,"Cooke, Richard A",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
56114,ABE,463,Electrohydraulic Systems,TEG,LEC,120128,"Grift, Tony E",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
31280,ABE,466,Engineering Off-Road Vehicles,AL1,LEC,120128,"Hansen, Alan C",1,9,5,10,5,4,2,1,0,0,0,0,0,0,3.35
29663,ABE,483,Engrg Properties of Food Matls,A,LEC,120128,"Rausch, Kent D",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
57478,ABE,488,Bioprocessing Biomass for Fuel,VS,LEC,120128,"Singh, Vijay",3,9,3,3,2,1,1,1,0,0,0,0,0,0,3.57
39806,ABE,501,Graduate Research I,A,LCD,120128,"Zhang, Yuanhui",0,20,0,1,0,0,0,0,0,0,1,0,0,0,3.83
55120,ABE,598,Special Topics,ACH,DIS,120128,"Hansen, Alan C",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
60696,ABE,598,Special Topics,RSG,LCD,120128,"Gates, Richard S",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
29670,ACCY,200,Fundamentals of Accounting,A,LCD,120128,"Silhan, Peter A",0,28,17,22,17,11,21,6,9,2,5,0,2,0,2.94
39539,ACCY,200,Fundamentals of Accounting,B,LCD,120128,"Silhan, Peter A",3,31,26,21,19,11,14,10,10,1,1,2,1,0,3.07
36478,ACCY,201,Accounting and Accountancy I,AD1,DIS,120128,"Arvin, Kyle C",5,5,5,6,11,4,2,3,1,0,0,0,0,0,3.2
36482,ACCY,201,Accounting and Accountancy I,AD3,DIS,120128,"Arvin, Kyle C",1,3,8,7,6,4,3,4,0,0,2,0,1,0,2.93
36484,ACCY,201,Accounting and Accountancy I,AD4,DIS,120128,"Braverman, Ian H",0,4,6,8,7,7,5,4,0,0,0,0,1,0,2.95
36486,ACCY,201,Accounting and Accountancy I,AD6,DIS,120128,"Doub, James D",0,3,11,6,9,5,3,2,1,0,0,0,0,1,3.13
36487,ACCY,201,Accounting and Accountancy I,AD7,DIS,120128,"Ettleson, Daniel A",0,3,3,11,6,4,5,5,2,0,1,0,0,0,2.86
