CRN,Course Subject,Course Number,Course Title,Course Section,Sched Type,Term,Primary Instructor,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Average Grade
32896,AAS,100,Intro Asian American Studies,AA,LCD,120095,"Espiritu, Augusto F",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
33565,AAS,120,Intro to Asian Am Pop Culture,AB,LCD,120095,"Espiritu, Augusto F",2,9,5,0,2,2,1,0,0,0,0,0,0,0,3.62
30561,ACCY,201,Accounting and Accountancy I,A,LCD,120095,"Feller, Anita L",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30562,ACCY,202,Accounting and Accountancy II,A,LCD,120095,"Finnegan, Thomas",0,13,7,3,0,3,0,0,0,0,0,0,0,0,3.68
30565,ACCY,301,Atg Measurement & Disclosure,AE1,LCD,120095,"White, Brian J",1,10,6,12,2,2,1,0,0,0,0,0,0,1,3.52
30034,ACCY,302,Decision Making for Atg,AE1,LCD,120095,"Chang, Ming-Un Myron",1,3,9,10,6,4,0,0,0,0,0,0,0,1,3.36
30041,ACCY,303,Atg Institutions and Reg,AE1,LCD,120095,"Cao, Shun",1,11,7,5,1,0,0,0,0,0,0,0,0,0,3.73
30048,ACCY,303,Atg Institutions and Reg,AE2,LCD,120095,"Arikan, Ozlem",2,6,5,5,1,1,2,0,0,1,1,0,1,0,3.19
30061,ACCY,304,Accounting Control Systems,AE1,LCD,120095,"Cardamone, Salvatore",0,10,2,5,4,0,0,0,0,0,0,0,0,0,3.62
30066,ACCY,304,Accounting Control Systems,AE2,LCD,120095,"Leiby, Justin",1,8,8,8,2,2,0,0,0,0,0,0,0,0,3.56
30080,ACCY,312,Principles of Taxation,A,LCD,120095,"Holder, Daniel E",3,10,3,1,12,2,0,2,0,0,1,0,0,0,3.31
30069,ACCY,405,Assurance and Attestation,AE1,LCD,120095,"Pike, Joel E",0,9,4,5,6,1,3,1,1,0,0,0,0,0,3.29
34354,ACCY,500,"Atg Measuremnt, Rpting & Cntrl",PT,LCD,120095,"Brown, Clifton E",4,3,6,5,9,0,0,0,0,0,0,0,0,0,3.47
30083,ACCY,501,Accounting Analysis I,A,LCD,120095,"Ibrahim, Adel Nematallah",0,17,3,4,3,4,1,1,0,0,0,0,0,0,3.53
30086,ACCY,501,Accounting Analysis I,B,LCD,120095,"Ibrahim, Adel Nematallah",0,12,2,7,3,5,0,0,0,0,0,0,0,0,3.48
32857,ACCY,510,Financial Reporting Standards,A,LCD,120095,"Polinski, Paul W",0,2,12,4,5,1,0,0,0,0,0,0,0,0,3.46
32858,ACCY,515,Auditing & Assurance Standards,A,LCD,120095,"Nekrasz, Frank",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
32291,ACCY,551,Corporate Income Taxation,CHI,LCD,120095,"Shaw, Jeffrey M",1,7,8,5,8,0,0,0,0,0,0,0,0,0,3.52
